ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_RFP,Intensity_IntegratedIntensityEdge_YFP,Intensity_IntegratedIntensity_RFP,Intensity_IntegratedIntensity_YFP,Intensity_LowerQuartileIntensity_RFP,Intensity_LowerQuartileIntensity_YFP,Intensity_MADIntensity_RFP,Intensity_MADIntensity_YFP,Intensity_MassDisplacement_RFP,Intensity_MassDisplacement_YFP,Intensity_MaxIntensityEdge_RFP,Intensity_MaxIntensityEdge_YFP,Intensity_MaxIntensity_RFP,Intensity_MaxIntensity_YFP,Intensity_MeanIntensityEdge_RFP,Intensity_MeanIntensityEdge_YFP,Intensity_MeanIntensity_RFP,Intensity_MeanIntensity_YFP,Intensity_MedianIntensity_RFP,Intensity_MedianIntensity_YFP,Intensity_MinIntensityEdge_RFP,Intensity_MinIntensityEdge_YFP,Intensity_MinIntensity_RFP,Intensity_MinIntensity_YFP,Intensity_StdIntensityEdge_RFP,Intensity_StdIntensityEdge_YFP,Intensity_StdIntensity_RFP,Intensity_StdIntensity_YFP,Intensity_UpperQuartileIntensity_RFP,Intensity_UpperQuartileIntensity_YFP,Location_CenterMassIntensity_X_RFP,Location_CenterMassIntensity_X_YFP,Location_CenterMassIntensity_Y_RFP,Location_CenterMassIntensity_Y_YFP,Location_CenterMassIntensity_Z_RFP,Location_CenterMassIntensity_Z_YFP,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_RFP,Location_MaxIntensity_X_YFP,Location_MaxIntensity_Y_RFP,Location_MaxIntensity_Y_YFP,Location_MaxIntensity_Z_RFP,Location_MaxIntensity_Z_YFP,Neighbors_AngleBetweenNeighbors_3,Neighbors_FirstClosestDistance_3,Neighbors_FirstClosestObjectNumber_3,Neighbors_NumberOfNeighbors_3,Neighbors_PercentTouching_3,Neighbors_SecondClosestDistance_3,Neighbors_SecondClosestObjectNumber_3,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
2,15,311,558,1367,480,1358,418,1362.4630225080386,449.09003215434086,4.614026029229234,458,0.9947445894114116,19.899183360445615,1,0.557347670250896,0.21673046351822345,71.73947333810806,61.032778078668514,3.1622776601683795,1.718529268870936,2.0,7.5078500446836784,7.345225915130582,2.1134683423912626,134.28427124746187,0.6790393013100436,1.3308334155008197,82.38369657099247,3.315000196918845,208.02861090004444,0.010000000707805157,0.6942110061645508,0.0008333325386047363,0.0,0.03870737621135472,0.9366025184764476,0.011666666716337204,0.6942110061645508,0.012500000186264515,0.6942110061645508,0.01056216996429222,0.6538388616745434,0.01065916462031783,0.6689022858522329,0.010833334177732468,0.6942110061645508,0.009166667237877846,0.14880314469337463,0.009166667237877846,0.14880314469337463,0.0006790301106523956,0.11602365481157817,0.0006903204134589983,0.0911373389079862,0.010833334177732468,0.6942110061645508,1362.4879336292363,1362.496271207567,449.119658106036,448.1540199740803,0.0,0.0,1362.4630225080386,449.09003215434086,0,1363.0,1359.0,447.0,420.0,0.0,0.0,114.3118437817318,12.88836727742527,14,1.0,6.896551724137931,20.874023367090725,13,15,12.04036972422147,12.04036972422147,2.0,12.04036972422147,nan,2,1.0,1.0,15,3.6456312036907548,-11.475185236963512
2,16,150,312,796,494,783,470,789.4733333333334,481.1333333333333,1.766150440470956,171,0.9628234641922457,13.81976597885342,1,0.4807692307692308,0.5662031824046332,27.160864693198544,24.698178070456937,3.605551275463989,1.8904983681408942,2.0,6.870727512550919,7.337002582495,22.396134685074667,57.698484809834994,0.8771929824561403,10.428754806518555,2.016383945941925,33.61381458491087,6.357146739959717,0.23411059379577637,0.04055490344762802,0.0,0.0008333362638950348,0.42352329824318463,0.07539136926040138,0.23411059379577637,0.048665884882211685,0.23411059379577637,0.052304707467556,0.21283173074527661,0.041150692774325,0.22409209723273912,0.04238097826639811,0.23411059379577637,0.04055490344762802,0.07227765023708344,0.03244392201304436,0.07227765023708344,0.03244392201304436,0.043304258486206434,0.003037228825185253,0.03042466540760136,0.003270894825657548,0.23411059379577637,0.044193726032972336,789.3669903465883,789.476612386211,480.7233782707656,481.05801330697125,0.0,0.0,789.4733333333334,481.1333333333333,0,786.0,792.0,472.0,488.0,0.0,0.0,5.52786898157956,145.0401037261381,18,0.0,0.0,147.27203570485173,19,16,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
2,17,226,684,227,535,209,497,218.5353982300885,514.8008849557522,2.8420203398785167,283,0.9867799023056911,16.96325844612841,1,0.3304093567251462,0.35186236564469675,45.053514310908376,39.92492955535426,3.605551275463989,1.8292924546441287,2.0,7.200958763011977,7.301647861107551,22.802114276784536,89.84062043356593,0.7985865724381626,17.28843382000923,3.250169452279806,51.81702411174774,9.79031304270029,0.23411059379577637,0.04055490344762802,0.0,0.0036388225853443146,0.3055321690488382,0.016924548942674186,0.23411059379577637,0.048665884882211685,0.23411059379577637,0.048665884882211685,0.22452511454557444,0.04220999288675073,0.2292788677510962,0.04331996921548801,0.23411059379577637,0.044193726032972336,0.11455529928207397,0.03608274459838867,0.11455529928207397,0.03608274459838867,0.023901805077055045,0.0028036293738689213,0.017309515509836563,0.0031669725920886894,0.23411059379577637,0.044193726032972336,218.4509249324773,218.5265804357801,514.5072624628904,514.7864389576749,0.0,0.0,218.5353982300885,514.8008849557522,0,218.0,213.0,520.0,504.0,0.0,0.0,111.46295006370596,296.4722126659165,20,0.0,0.0,322.36311178685867,4,17,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
2,18,75,121,747,624,736,613,741.32,617.9466666666667,1.0728908003630184,79,0.8513859193911747,9.772050238058398,1,0.6198347107438017,0.9320613054577823,13.566489400422219,12.206555615733702,3.605551275463989,1.8099657027010698,1.4142135623730951,6.363961030678928,7.1161638240314415,49.8112928862036,31.798989873223327,0.9493670886075949,5.288710415363312,1.0967321656644344,16.63368520140648,3.2541137598454952,0.2322355955839157,0.04055490344762802,0.0,0.0036388225853443146,0.12777277192432407,0.07413432806461662,0.23411059379577637,0.04783254861831665,0.23411059379577637,0.048665884882211685,0.20341193905243507,0.04218200637170902,0.2217824693520864,0.0433881834646066,0.23411059379577637,0.044193726032972336,0.1348607987165451,0.03608274459838867,0.1348607987165451,0.03608274459838867,0.03647799074328043,0.0032727771691476518,0.026177486338063344,0.003331770444796041,0.23411059379577637,0.04783254861831665,741.3890890903646,741.3462313161772,617.8391837431959,617.8773282455049,0.0,0.0,741.32,617.9466666666667,0,746.0,739.0,621.0,616.0,0.0,0.0,96.2234240462907,14.270803279948458,19,1.0,7.5,145.0401037261381,16,18,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
2,19,69,91,761,628,748,621,754.1884057971015,624.1159420289855,1.088948724285411,73,0.8582613344751279,9.373021315815206,1,0.7582417582417582,0.9183168846230286,13.0763731781396,12.165525060596439,3.605551275463989,1.7704152138153886,1.4142135623730951,6.0,6.710963413211438,77.64947930431994,30.727922061357855,0.9452054794520548,5.113544136285782,1.1266760788857937,14.67518949508667,2.9540074691176414,0.19846481829881668,0.04055490344762802,0.0,0.0036388225853443146,0.2707406967468823,0.12166637907102594,0.23411059379577637,0.048665884882211685,0.23411059379577637,0.048665884882211685,0.18939052356614006,0.041728743662436805,0.21268390572589377,0.04281170245098031,0.23411059379577637,0.044193726032972336,0.10872196406126022,0.03244392201304436,0.10872196406126022,0.03244392201304436,0.04405376720967316,0.004589015959383456,0.03584665343225892,0.004152053858476811,0.23411059379577637,0.04783254861831665,754.0052052810463,754.1202771361295,623.9165978648068,624.0151392842291,0.0,0.0,754.1884057971015,624.1159420289855,0,752.0,754.0,625.0,622.0,0.0,0.0,78.24870697212968,14.270803279948458,18,1.0,8.571428571428571,147.27203570485173,16,19,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
2,20,136,285,497,647,482,628,488.63235294117646,637.0441176470588,1.563892357705222,149,0.9473222992532735,13.159049284959082,1,0.47719298245614034,0.6394301980395571,23.5129423621569,21.095023109728988,3.605551275463989,1.9326366145290725,2.0,6.701872450265123,7.530768601540151,29.894015346153978,51.69848480983499,0.912751677852349,10.054255530238152,1.9336074814200401,31.826540753245354,6.344258174300194,0.23411059379577637,0.044193726032972336,0.0,0.0008333362638950348,0.004052583930130107,0.09000500030492749,0.23411059379577637,0.052304707467556,0.23411059379577637,0.055943530052900314,0.23381989605205003,0.04496761584697768,0.23401868200915701,0.046648957163972014,0.23411059379577637,0.04783254861831665,0.22411058843135834,0.039721567183732986,0.22411058843135834,0.03608274459838867,0.0015448065484709107,0.0030437692777848645,0.0008790921025193018,0.0033604625716423028,0.23411059379577637,0.048665884882211685,488.6300876745858,488.59529247657576,637.0407572893719,636.9620967835942,0.0,0.0,488.63235294117646,637.0441176470588,0,487.0,489.0,628.0,634.0,0.0,0.0,16.417328081469783,205.27109270172932,25,0.0,0.0,206.62140160394463,27,20,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
2,21,84,140,673,754,659,744,665.452380952381,748.5952380952381,1.2140942293639523,91,0.8903812391509363,10.341765891652821,1,0.6,0.8236592974532846,15.430442657784779,13.92838827718412,3.605551275463989,1.794845176514271,1.4142135623730951,6.260990336999411,7.024178322634743,60.98051199454663,35.79898987322333,0.9230769230769231,6.099458694458008,1.264257274568081,18.591042160987854,3.5852196738123894,0.23077726364135742,0.04055490344762802,0.0,0.0008333362638950348,0.17497431783003387,0.06519333047598931,0.23411059379577637,0.048665884882211685,0.23411059379577637,0.048665884882211685,0.20331528981526692,0.04214190915226936,0.22132193048795065,0.042681186593004634,0.23411059379577637,0.04055490344762802,0.12622196972370148,0.03608274459838867,0.12622196972370148,0.03608274459838867,0.033968504142662115,0.003114857057623487,0.025554463217983533,0.0030374142577189655,0.23411059379577637,0.044193726032972336,665.6252310287913,665.5159679351149,748.5680560610053,748.5808552594485,0.0,0.0,665.452380952381,748.5952380952381,0,663.0,665.0,749.0,749.0,0.0,0.0,72.20100347425019,15.508990472868566,22,1.0,6.818181818181818,75.18303887308043,24,21,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
2,22,75,120,685,762,673,752,678.6133333333333,756.8,1.1534043692871552,81,0.8780411342781267,9.772050238058398,1,0.625,0.8669986230570945,14.176204100625103,13.038404810405298,3.605551275463989,1.7605566474977101,1.4142135623730951,6.10170215847752,6.784521072729366,57.10332100351673,32.97056274847714,0.9259259259259259,5.3665159568190575,1.1632866822183132,16.09424213320017,3.1961980760097504,0.20338843762874603,0.04055490344762802,0.0,0.0008333362638950348,0.32665551840106527,0.1353675221521886,0.23411059379577637,0.048665884882211685,0.23411059379577637,0.052304707467556,0.1916612841721092,0.04154595293636833,0.21458989510933557,0.04261597434679667,0.23411059379577637,0.04055490344762802,0.09591647982597351,0.03244392201304436,0.09591647982597351,0.03244392201304436,0.04306628065974986,0.003512572719853955,0.034070076573312125,0.0035625583121171706,0.23411059379577637,0.044193726032972336,678.4180471400531,678.527866866581,756.5381467387715,756.6950245308917,0.0,0.0,678.6133333333333,756.8,0,674.0,675.0,753.0,755.0,0.0,0.0,95.95965130825402,15.508990472868566,21,1.0,7.5,71.9733811054826,24,22,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
2,23,262,660,1185,818,1141,803,1162.996183206107,809.263358778626,2.963022967801748,318,0.9884663056162887,18.26441241104166,1,0.396969696969697,0.33749316521224776,49.350700185759784,44.14748010928823,4.0,1.895219512489454,2.0,7.744727635109872,7.473717135087822,73.84071663845542,98.76955262170048,0.8238993710691824,0.9025000585243106,22.50735814869404,2.681666844524443,81.54834732413292,0.010000000707805157,0.22544078528881073,0.0008333334699273109,0.07299882173538208,0.09937308222742582,0.4852885722140156,0.012500000186264515,0.44443726539611816,0.012500000186264515,0.4517149031162262,0.010255682483230803,0.2557654335078868,0.010235369635589478,0.311253234061576,0.010000000707805157,0.34263333678245544,0.008333333767950535,0.08922078460454941,0.008333333767950535,0.08922078460454941,0.0007678633461212724,0.11918632556917341,0.0007264452568818655,0.1023121162168731,0.010833334177732468,0.399410218000412,1162.9064636568487,1163.1838456981718,809.2206339386347,808.815823542702,0.0,0.0,1162.996183206107,809.263358778626,0,1143.0,1171.0,804.0,810.0,0.0,0.0,111.36395257750588,308.0426683829159,33,0.0,0.0,359.3143105965865,26,23,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
2,24,166,459,656,836,639,809,647.0843373493976,821.5,2.1905313918244684,186,0.9797046883723602,14.538148590038452,1,0.3616557734204793,0.4565102347915277,32.84800640069181,29.5296461204668,3.1622776601683795,1.7851626849921047,1.4142135623730951,6.002450479987809,6.584261705715875,30.568482886089,67.59797974644667,0.8924731182795699,12.578861117362976,2.3386286459863186,38.13449899852276,7.157411452382803,0.23411059379577637,0.04055490344762802,0.0,0.0036388225853443146,0.26394033545535156,0.06362139321863076,0.23411059379577637,0.04783254861831665,0.23411059379577637,0.048665884882211685,0.2246225199529103,0.04176122582118426,0.2297258975814624,0.04311693646013737,0.23411059379577637,0.044193726032972336,0.1128886267542839,0.03608274459838867,0.1128886267542839,0.03608274459838867,0.028268025148318436,0.0025308893621403894,0.018637350911887268,0.0031158674913190805,0.23411059379577637,0.044193726032972336,646.9664681637635,647.0678229730164,821.263840401935,821.4385593209037,0.0,0.0,647.0843373493976,821.5,0,650.0,647.0,831.0,819.0,0.0,0.0,11.839345217495767,71.9733811054826,22,0.0,0.0,75.18303887308043,21,24,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
