Module,Module Number,Relationship,First Object Name,First Image Number,First Object Number,Second Object Name,Second Image Number,Second Object Number
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,1,FilterObjects,1,5
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,1,FilterObjects,1,8
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,1,FilterObjects,1,10
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,2,FilterObjects,1,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,2,FilterObjects,1,6
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,2,FilterObjects,1,9
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,3,FilterObjects,1,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,3,FilterObjects,1,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,3,FilterObjects,1,6
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,3,FilterObjects,1,7
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,4,FilterObjects,1,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,4,FilterObjects,1,7
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,4,FilterObjects,1,9
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,5,FilterObjects,1,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,5,FilterObjects,1,8
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,5,FilterObjects,1,9
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,6,FilterObjects,1,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,6,FilterObjects,1,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,6,FilterObjects,1,7
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,6,FilterObjects,1,9
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,7,FilterObjects,1,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,7,FilterObjects,1,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,7,FilterObjects,1,6
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,7,FilterObjects,1,9
MeasureObjectNeighbors,9,Neighbors,FilterObjects,1,8,FilterObjects,1,1
