ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,Intensity_IntegratedIntensityEdge_RFP,Intensity_IntegratedIntensityEdge_YFP,Intensity_IntegratedIntensity_RFP,Intensity_IntegratedIntensity_YFP,Intensity_LowerQuartileIntensity_RFP,Intensity_LowerQuartileIntensity_YFP,Intensity_MADIntensity_RFP,Intensity_MADIntensity_YFP,Intensity_MassDisplacement_RFP,Intensity_MassDisplacement_YFP,Intensity_MaxIntensityEdge_RFP,Intensity_MaxIntensityEdge_YFP,Intensity_MaxIntensity_RFP,Intensity_MaxIntensity_YFP,Intensity_MeanIntensityEdge_RFP,Intensity_MeanIntensityEdge_YFP,Intensity_MeanIntensity_RFP,Intensity_MeanIntensity_YFP,Intensity_MedianIntensity_RFP,Intensity_MedianIntensity_YFP,Intensity_MinIntensityEdge_RFP,Intensity_MinIntensityEdge_YFP,Intensity_MinIntensity_RFP,Intensity_MinIntensity_YFP,Intensity_StdIntensityEdge_RFP,Intensity_StdIntensityEdge_YFP,Intensity_StdIntensity_RFP,Intensity_StdIntensity_YFP,Intensity_UpperQuartileIntensity_RFP,Intensity_UpperQuartileIntensity_YFP,Location_CenterMassIntensity_X_RFP,Location_CenterMassIntensity_X_YFP,Location_CenterMassIntensity_Y_RFP,Location_CenterMassIntensity_Y_YFP,Location_CenterMassIntensity_Z_RFP,Location_CenterMassIntensity_Z_YFP,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_RFP,Location_MaxIntensity_X_YFP,Location_MaxIntensity_Y_RFP,Location_MaxIntensity_Y_YFP,Location_MaxIntensity_Z_RFP,Location_MaxIntensity_Z_YFP,Neighbors_AngleBetweenNeighbors_Expanded,Neighbors_FirstClosestDistance_Expanded,Neighbors_FirstClosestObjectNumber_Expanded,Neighbors_NumberOfNeighbors_Expanded,Neighbors_PercentTouching_Expanded,Neighbors_SecondClosestDistance_Expanded,Neighbors_SecondClosestObjectNumber_Expanded,Number_Object_Number,Parent_RunOmnipose,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
3,13,230,621,92,348,69,321,80.55217391304348,334.4,230.0,1.4210854715202004e-14,7724.873913043479,-4620.143364839336,-7.815970093361102e-14,-8488.800000000001,3708.5878260869617,-527146.7520907373,11767.2,-1126.820869565213,612364.229610586,-532597.0434035022,1.881351419621418,250,0.9720005796836607,17.112717355495807,1,0.37037037037037035,0.5315328064552813,0.3684702062957179,0.1088401277701585,0.00034774214374091517,5.132291549644999e-05,3.010929893040651e-10,-4.349025051372589e-06,6.849777728364288e-09,80.31364000724737,4.434507440767771,33.58640831758035,36.907826086956526,36.907826086956526,51.161739130434796,35.847151073913224,32.202484376209235,4.242640687119285,2.149645706557857,2.23606797749979,7.8652688149610315,8.423308082474742,nan,nan,0.1460278622503493,-0.005758851264771579,nan,-0.16046880907372402,0.004622628348572917,-0.043325943296682615,0.22244234404536864,-0.0014045438155125944,0.05032992764120867,-0.00288636550183774,-0.004715829315362369,-0.06465203380491064,0.0019108362103721712,-0.018980309120778867,-38.303686653333756,73.74011537017762,0.92,230.0,2657.0,38419.0,617681.0,3082.0,27115.0,322395.0,4479745.0,53066.0,384401.0,3898365.0,47526179.0,0.0483333378797397,21.991688765585423,0.1916666846955195,120.65802797675133,0.00083333341171965,0.26339805126190186,0.0,0.17102468013763428,0.0,1.431733393804475,0.00083333341171965,0.7495976686477661,0.00083333341171965,0.843373715877533,0.00083333341171965,0.3791670476825073,0.00083333341171965,0.5246001216380493,0.00083333341171965,0.6149612069129944,0.00083333341171965,0.08088745176792145,0.00083333341171965,0.08088745176792145,0.0,0.25885987274736905,0.0,0.2472834393906787,0.00083333341171965,0.7495976686477661,80.55217391304348,80.73690712278612,334.4,332.9802344728255,0.0,0.0,80.55217391304348,334.4,0,71.0,84.0,343.0,328.0,0.0,0.0,4.721485766171414,37.32855546278345,16,6.0,79.56521739130434,46.336474056071616,17,13,14,0.0,0.0,nan,0.0,46.0,1,nan,0.0,0,0.0,0.0
3,14,225,319,166,358,155,329,160.47555555555556,342.8977777777778,225.0,5.684341886080802e-14,1470.1155555555554,-214.5632395061724,1.7053025658242404e-13,1711.9377777777775,-693.7630419753076,26750.226347720163,13294.648888888885,-552.4660543209794,81012.98645702058,-26654.405636140564,1.5977793623289003,243,0.9535954852699536,16.925687506432688,1,0.7053291536050157,0.6258686421774872,0.2916496680384087,0.059129527765564266,7.291043663121887e-05,2.283188799988454e-05,8.526316457263588e-10,4.218169723526057e-06,3.7524704351024347e-10,60.166721989839274,5.454453318802688,6.533846913580249,-7.608612345679011,-7.608612345679011,59.08732839506171,31.026884339833874,28.442925306655784,5.0,2.3407247470067607,2.0,8.54874733987858,9.341908429268775,nan,nan,0.029039319615912204,-0.0002825524141645069,nan,0.033816054869684496,-0.0009135974215312692,0.0023484423679754327,0.2626103484224965,-0.000727527314332154,0.007112251211590284,-0.0001560020082956558,0.005583889376212974,0.015725774085446686,-0.00022021530491259144,0.0009513641374457796,8.074369738448533,67.21320343559643,0.9259259259259259,225.0,1232.0,8216.0,60872.0,3127.0,18834.0,132238.0,1015320.0,56753.0,357786.0,2562282.0,19901028.0,0.05083333811489865,29.675605833530426,0.18750001763692126,165.9328778833151,0.00083333341171965,0.5729063600301743,0.0,0.06045722961425781,0.0,1.2924813723468962,0.00083333341171965,0.8842340707778931,0.00083333341171965,0.927899956703186,0.00083333341171965,0.48648534153328565,0.00083333341171965,0.7374794572591782,0.00083333341171965,0.8674427270889282,0.00083333341171965,0.12008118629455566,0.00083333341171965,0.12008118629455566,0.0,0.19634157788350573,0.0,0.23712921399264092,0.00083333341171965,0.927899956703186,160.47555555555556,160.35048096031224,342.8977777777778,341.61136243136417,0.0,0.0,160.47555555555556,342.8977777777778,0,165.0,161.0,355.0,337.0,0.0,0.0,56.49971823875854,26.838500668240815,15,5.0,100.0,33.483285741515914,12,14,15,9.595970986113105,9.431224416817855,nan,9.653386267841215,27.0,3,0.9940523169657698,2.0,20,3.9927969348659076,8.544329501915684
3,15,133,221,143,362,130,345,135.57142857142858,352.90225563909775,133.0,2.842170943040401e-14,1288.5714285714287,230.2040816326538,-1.580957587066223e-13,-1149.5714285714287,-199.0085929108499,-22452.88951971766,2575.7293233082705,-26.299677765840247,28233.540206585203,6124.143703973813,1.236283147626261,140,0.9004681345466398,13.013103375051497,1,0.6018099547511312,0.8088761882098457,0.218457841137413,0.0221886140157996,2.64907734849509e-05,2.0327305142172394e-06,-1.3002919321498281e-11,-2.6165029773735243e-07,-7.309320131186873e-12,24.433182063614815,4.621710807661127,9.688506981740067,8.643394199785178,8.643394199785178,19.366385889535874,19.771972916677715,18.35755975068582,4.242640687119285,2.1308230313625836,2.0,7.888934916555407,8.599265836254746,nan,nan,0.07284591715594034,0.0011284541478253066,nan,-0.06498792631417427,-0.0009755347104639327,-0.009543711809224142,0.14561192398147269,-0.00012892030519549955,0.012000805991993326,0.000225717187161218,0.0019922267049514134,-0.017570213545700254,-1.1379880166092119e-05,-0.002374124085989698,-30.379021838007702,45.45584412271571,0.95,133.0,741.0,5417.0,44769.0,1051.0,4706.0,29798.0,220946.0,10881.0,42428.0,240568.0,1617344.0,0.0316666696453467,5.764952301979065,0.11083334375871345,27.179678454995155,0.00083333341171965,0.11727569252252579,0.0,0.06788765639066696,0.0,1.0767654360169356,0.00083333341171965,0.2801894247531891,0.00083333341171965,0.3121054768562317,0.00083333341171965,0.15170927110471225,0.00083333341171965,0.20435848462402373,0.00083333341171965,0.22966254502534866,0.00083333341171965,0.06549882888793945,0.00083333341171965,0.06549882888793945,0.0,0.07874726596378513,0.0,0.08422650686717328,0.00083333341171965,0.2801894247531891,135.57142857142858,135.5188383193617,352.90225563909775,351.8267752489519,0.0,0.0,135.57142857142858,352.90225563909775,0,130.0,134.0,359.0,352.0,0.0,0.0,172.0431619385126,22.357456597330433,17,3.0,100.0,26.838500668240815,14,15,16,0.0,0.0,nan,0.0,47.0,1,nan,0.0,0,0.0,0.0
3,16,131,216,114,370,102,352,107.19083969465649,360.5496183206107,131.0,-1.2434497875801753e-14,1054.2290076335878,32.52327952916602,-1.2434497875801753e-13,-980.7404580152673,-306.71738243692243,-15836.350233598198,2706.4274809160306,525.0200454518977,22692.770615157486,11467.069547203739,1.2551576994984175,139,0.9005040858793953,12.914889870235298,1,0.6064814814814815,0.7967126365074421,0.21913970564358828,0.022333341064185955,7.793050745501618e-05,1.2961720030856227e-05,3.203945956646028e-10,1.1334111430542835e-06,2.5894518003913645e-10,24.142195887381632,4.56510555192843,8.047549676592272,7.486568381795934,7.486568381795934,20.65975176271779,19.653883438091977,18.384776310850235,4.123105625617661,2.1093743337269824,2.0,8.009692404443076,8.546443051401845,nan,nan,0.0614316769205517,0.00016558313187199603,nan,-0.057149376960274306,-0.0015615653008775369,-0.0070443546251456,0.15770802872303658,0.0026729919208652495,0.010094240231003766,0.0004456592362767414,-0.0006529801831516289,-0.016661777706704104,-0.0006544877375851166,-0.00179200467966394,-24.945914234022347,45.45584412271571,0.9424460431654677,131.0,680.0,4584.0,34772.0,1120.0,4833.0,28703.0,197397.0,12282.0,47509.0,256795.0,1619473.0,0.0316666696453467,8.323822528123856,0.10916667693527415,38.728497974574566,0.00083333341171965,0.19860058650374413,0.0,0.08915117383003235,0.0,0.9239101598933722,0.00083333341171965,0.38768744468688965,0.00083333341171965,0.4584917426109314,0.00083333341171965,0.21904796126641726,0.00083333341171965,0.2956373891188898,0.00083333341171965,0.32484138011932373,0.00083333341171965,0.06830431520938873,0.00083333341171965,0.06830431520938873,0.0,0.09662422730365566,0.0,0.11037520493220257,0.00083333341171965,0.39390264451503754,107.19083969465649,107.14773306302033,360.5496183206107,359.62671431592594,0.0,0.0,107.19083969465649,360.5496183206107,0,103.0,108.0,368.0,356.0,0.0,0.0,36.23695615458301,9.637509065239197,17,4.0,100.0,29.39285595131846,15,16,17,0.8391557442477372,0.8266068358435791,nan,0.9080208703677122,30.0,3,0.9241590932903476,2.0,23,-0.10327795240233684,-0.820129578548972
3,17,179,345,124,376,109,353,116.17877094972067,364.02793296089385,179.0,1.2434497875801753e-13,2320.2793296089385,304.5816922068608,-1.7053025658242404e-13,-2943.893854748603,-417.40666645860335,-76190.18335638051,6636.860335195532,184.96055054461786,112327.06756810713,23078.398046418268,1.553454987914495,198,0.9476857857884742,15.09668435477122,1,0.518840579710145,0.6437264084120613,0.2795524379639983,0.05191660083739648,3.134790937349028e-05,4.1049730963797515e-06,-5.624864179701737e-12,-5.007491151209109e-07,-4.6225118159483664e-11,45.41271034345367,4.627176052102033,12.962454355357199,16.446334384070408,16.446334384070408,37.0774320401985,26.955581342186978,24.596747752497688,4.123105625617661,2.1501453470215117,2.0,7.602631123499285,8.60434871641268,nan,nan,0.07241594611931396,0.0007105116736842688,nan,-0.0918789630394995,-0.0009737036623693472,-0.013284338267778159,0.20713649184468436,0.0004314659537834823,0.01958507902812844,0.00030075998270356354,0.0026472807280412203,-0.033984374810490804,-0.0004704444920681144,-0.004876937169692464,-26.87665680552809,59.11269837220809,0.9040404040404041,179.0,1285.0,11545.0,116497.0,1974.0,11227.0,84633.0,744403.0,28406.0,139175.0,919617.0,7176767.0,0.0416666705859825,10.812472272664309,0.14916668069781736,53.59628585353494,0.00083333341171965,0.18383696302771568,0.0,0.08047077059745789,0.0,1.2210962587453786,0.00083333341171965,0.3885207772254944,0.00083333341171965,0.4548529386520386,0.00083333341171965,0.21624944545328617,0.00083333341171965,0.2994205913605304,0.00083333341171965,0.34527158737182617,0.00083333341171965,0.04449921473860741,0.00083333341171965,0.04449921473860741,0.0,0.1196924538169222,0.0,0.12258675841104513,0.00083333341171965,0.41035372018814087,116.17877094972067,116.16335104150066,364.02793296089385,362.80693406672873,0.0,0.0,116.17877094972067,364.02793296089385,0,111.0,116.0,368.0,362.0,0.0,0.0,129.00050729827313,9.637509065239197,16,5.0,100.0,22.357456597330433,15,17,18,7.813213311316391,7.881022679528085,nan,8.006359037135626,29.0,3,0.9758759599808885,2.0,22,-5.423568231565881,5.717991440426033
3,18,105,196,207,374,193,360,199.33333333333334,366.62857142857143,105.0,1.7763568394002505e-15,1155.3333333333333,-62.22222222222081,-5.950795411990839e-14,-723.0,37.45714285714162,-15706.999999999998,1120.514285714286,10.580952380953324,14417.214240362811,155.15661375662205,1.2299058296076282,114,0.8815731045975638,11.562445770562215,1,0.5357142857142857,0.8130703798021885,0.20642608789547567,0.01721199184353925,2.784249695986812e-06,2.2342187603115157e-07,-4.361592909743831e-14,-1.3809264104652068e-08,1.707317846133787e-13,17.72507986674834,3.9496593622766087,11.003174603174605,6.885714285714286,6.885714285714286,10.671564625850344,16.840465488458847,15.620499351813308,4.242640687119285,2.0030093828296107,2.0,7.0710678118654755,7.949499971471523,nan,nan,0.10479213907785336,-0.0005507725279427222,nan,-0.06557823129251701,0.00033155944169367923,-0.013568297160133894,0.1016339488176223,9.365943038945402e-05,0.01245413172690881,1.308000005904631e-05,-0.0004518486435216399,-0.013119944996463113,-4.87044689179977e-05,-0.002465281646210862,-45.68969537637387,40.2842712474619,0.9210526315789473,105.0,665.0,5367.0,48563.0,696.0,3685.0,26455.0,219907.0,5734.0,26741.0,174399.0,1341587.0,0.0266666691750288,7.073345214128494,0.08750000823056325,30.818641386926174,0.00083333341171965,0.12470608577132225,0.0,0.15101119875907898,0.0,1.1189995045084995,0.00083333341171965,0.47668591141700745,0.00083333341171965,0.5139074325561523,0.00083333341171965,0.22104203794151545,0.00083333341171965,0.29351087035167783,0.00083333341171965,0.31798040866851807,0.00083333341171965,0.06549882888793945,0.00083333341171965,0.06549882888793945,0.0,0.15763947551095567,0.0,0.157348242401746,0.00083333341171965,0.44666557013988495,199.33333333333334,199.30883530001427,366.62857142857143,365.5098401214857,0.0,0.0,199.33333333333334,366.62857142857143,0,195.0,200.0,367.0,363.0,0.0,0.0,16.872814473485384,20.247946423159583,20,5.0,100.0,44.30611747132633,19,18,19,0.0,0.0,nan,0.0,48.0,1,nan,0.0,0,0.0,0.0
3,19,144,176,255,369,233,361,243.56944444444446,364.1388888888889,144.0,1.8829382497642655e-13,4669.305555555556,-1363.3202160493893,8.881784197001252e-16,10.611111111111114,-811.0848765432098,-2164.9413901748967,593.2222222222221,213.66358024691365,14517.270769032923,4445.579263355419,1.3894192075477587,152,0.9343229966397354,13.540550005146152,1,0.8181818181818182,0.7197251877386521,0.25378702632030176,0.038640960481708106,0.000169216912686893,2.932008903202412e-05,1.5212968364339893e-09,2.6553680690990488e-06,1.39673122130315e-09,32.42592485323722,4.119406936886233,32.42573302469136,-0.0736882716049383,-0.0736882716049383,4.119598765432095,22.77750639670189,21.095023109728988,4.0,2.108784146402655,2.0,7.0,8.11852886859311,nan,nan,0.22517870156035666,-0.005478878183068855,nan,0.000511724108367627,-0.003259568208844561,-0.0007250344912011909,0.02860832475994512,0.0008586660085797391,0.004861804607470409,0.00012406795837250018,0.00043578909306254173,0.00013852626707919037,-0.0001532451691645915,-2.276102658949922e-05,89.85084544662807,50.14213562373095,0.9473684210526315,144.0,1522.0,20756.0,316720.0,452.0,4788.0,64564.0,969822.0,2012.0,21546.0,286122.0,4204620.0,0.0383333369391039,9.181363046169281,0.1200000112876296,31.96262040734291,0.00083333341171965,0.13827529549598694,0.0,0.08733178675174713,0.0,0.7245781665746842,0.00083333341171965,0.34204941987991333,0.00083333341171965,0.3638823628425598,0.00083333341171965,0.19959484882976697,0.00083333341171965,0.22196264171765911,0.00083333341171965,0.2037741094827652,0.00083333341171965,0.06549882888793945,0.00083333341171965,0.06549882888793945,0.0,0.1029767436586721,0.0,0.09236937883442464,0.00083333341171965,0.32302194833755493,243.56944444444446,243.80066824116946,364.1388888888889,363.4521945789483,0.0,0.0,243.56944444444446,364.1388888888889,0,246.0,245.0,367.0,362.0,0.0,0.0,24.514002683710682,14.430057757214366,21,6.0,100.0,19.41816229597272,22,19,20,0.0,0.0,nan,0.0,49.0,1,nan,0.0,0,0.0,0.0
3,20,108,144,224,380,215,364,219.00925925925927,371.4074074074074,108.0,-7.105427357601002e-15,524.9907407407409,22.41683813443042,-4.973799150320701e-14,-391.40740740740745,-79.64060356652939,-4279.761164456638,1944.0740740740741,41.757887517146685,8761.718468983387,1336.5627522034383,1.1873187557820561,115,0.8902569058871832,11.726460285670077,1,0.75,0.8422338105333187,0.21168251155819745,0.019306268690618383,1.5217005382844896e-05,1.6713482182877729e-06,4.21953249720287e-12,5.1325314336792045e-08,-7.296572728302315e-12,18.9339936011389,3.9277176471464204,4.86102537722908,3.6241426611796985,3.6241426611796985,18.00068587105624,17.405283612116822,16.15549442140351,4.0,2.012604638955082,2.0,7.256297000112809,7.927388116797532,nan,nan,0.045009494233602614,0.00018493323518652366,nan,-0.033556876492404616,-0.0006570148020627574,-0.003397412396211704,0.16667301732459483,0.00034449199243848235,0.006955334607420892,0.00010209540815327659,0.0018364456591467933,-0.010408147821913467,-0.00016043996256321353,-0.0009004602111807054,-14.441314237559185,40.14213562373095,0.9391304347826087,108.0,433.0,2261.0,13297.0,800.0,2816.0,13530.0,74384.0,7870.0,25796.0,116730.0,606404.0,0.0300000028219074,7.621974140405655,0.0900000084657222,33.56656392663717,0.00083333341171965,0.18110784888267517,0.0,0.12174785137176514,0.0,1.2412255272946977,0.00083333341171965,0.43218666315078735,0.00083333341171965,0.5111019611358643,0.00083333341171965,0.2117215039001571,0.00083333341171965,0.3108015178392331,0.00083333341171965,0.33029961585998535,0.00083333341171965,0.06549882888793945,0.00083333341171965,0.06549882888793945,0.0,0.1208224743499479,0.0,0.14164157662077762,0.00083333341171965,0.4330199956893921,219.00925925925927,218.93788572269992,371.4074074074074,370.1682356566452,0.0,0.0,219.00925925925927,371.4074074074074,0,223.0,219.0,367.0,369.0,0.0,0.0,149.8625164964258,20.247946423159583,18,4.0,100.0,25.613161807645618,19,20,21,0.0,0.0,nan,0.0,50.0,1,nan,0.0,0,0.0,0.0
3,21,125,180,250,388,240,370,244.544,378.536,125.0,4.796163466380676e-14,715.008,44.983296000000706,-6.394884621840902e-14,-634.4480000000001,53.2074239999994,-7939.918505984001,2739.0879999999997,-289.47174399999926,14907.245103104,-3718.211548192761,1.254146278902931,133,0.9042695713726054,12.6156626101008,1,0.6944444444444444,0.7973551545157506,0.221062144,0.023375859323764733,2.79775178287651e-05,6.030440473275204e-06,7.214220903597844e-11,7.324070047080445e-07,3.051378438900102e-11,23.372112673599727,4.260655326400272,5.720063999999999,5.075584000000001,5.075584000000001,21.912703999999998,19.337885168176886,18.027756377319946,4.123105625617661,2.077022106985138,2.0,7.58946638440411,8.256541965157348,nan,nan,0.045760512,0.00025749941173246963,nan,-0.04060467200000001,0.00030457706744743023,-0.004065238275063808,0.17530163199999999,-0.001657032952702503,0.007632509492789248,-0.00017027427894238716,0.0017132798008599043,-0.013105673378725886,0.0003563930159655198,-0.0011208252235469316,-16.041802090404634,44.38477631085023,0.9398496240601504,125.0,568.0,3296.0,21520.0,1067.0,4214.0,22422.0,137180.0,11847.0,42712.0,211464.0,1212478.0,0.03250000305706635,10.06120803207159,0.10416667646495625,38.777469642460346,0.00083333341171965,0.2668285369873047,0.0,0.05136018991470337,0.0,0.4474573364429457,0.00083333341171965,0.4176313579082489,0.00083333341171965,0.4176313579082489,0.00083333341171965,0.25797969313004077,0.00083333341171965,0.31021975713968275,0.00083333341171965,0.32666081190109253,0.00083333341171965,0.08452627807855606,0.00083333341171965,0.08452627807855606,0.0,0.08098417638145788,0.0,0.07757054976289966,0.00083333341171965,0.37669460475444794,244.544,244.6269987362447,378.536,378.09630774657904,0.0,0.0,244.544,378.536,0,243.0,246.0,375.0,385.0,0.0,0.0,111.89324585370836,8.683123831652077,22,4.0,100.0,14.430057757214366,19,21,22,0.0,0.0,nan,0.0,51.0,1,nan,0.0,0,0.0,0.0
3,22,171,414,262,393,244,370,252.80116959064327,381.22222222222223,171.0,1.3322676295501878e-13,3383.2397660818715,-2046.5830169966766,9.947598300641403e-14,-3909.4444444444453,2109.033788174137,-149119.76185264986,6229.555555555554,-1277.1650422352225,183189.14146803002,-186426.4121799618,1.7323167345113655,190,0.9633066308171472,14.755472278097805,1,0.41304347826086957,0.5772616404828935,0.32874372701471993,0.08097498873874695,0.0004069193317537777,8.149958211412687e-05,8.21710766700151e-09,4.555596664054854e-06,1.23595646181274e-08,52.437558068441035,3.777619251076084,19.785027871823814,22.86224821312541,22.86224821312541,36.4301494476933,28.965512753877785,26.076809620810597,4.0,1.993493233820569,2.0,7.211102550927978,7.7744394021188015,nan,nan,0.11570191737908661,-0.005352283264039317,nan,-0.13369735797149362,0.005515606332111084,-0.029822693852849382,0.21304180963563332,-0.003340079060659355,0.03663628224249537,-0.0028511564920708195,-0.0030778985296281884,-0.05087510561548564,0.0025171540429981777,-0.012044811585038867,-34.9984698170663,61.01219330881976,0.9,171.0,1505.0,16629.0,203861.0,1919.0,12980.0,119908.0,1285856.0,27765.0,155342.0,1240294.0,11787002.0,0.04083333717426285,13.87908424437046,0.14250001340406016,64.42098326981068,0.00083333341171965,0.19657284021377563,0.0,0.12819215655326843,0.0,1.373440044494227,0.00083333341171965,0.5494623780250549,0.00083333341171965,0.6004058718681335,0.00083333341171965,0.2832466172320502,0.00083333341171965,0.3767308963146823,0.00083333341171965,0.43988096714019775,0.00083333341171965,0.06186000257730484,0.00083333341171965,0.06186000257730484,0.0,0.17892268898618194,0.0,0.17384704118597546,0.00083333341171965,0.5387542396783829,252.80116959064327,253.01437995922208,381.22222222222223,379.86543229944465,0.0,0.0,252.80116959064327,381.22222222222223,0,254.0,255.0,373.0,377.0,0.0,0.0,43.59275146258095,8.683123831652077,21,5.0,100.0,19.41816229597272,19,22,23,0.0,0.0,nan,0.0,52.0,1,nan,0.0,0,0.0,0.0
